Marca,Modelo,Código API
BMW,525i/iA Touring,198
BMW,528i/iA,199
BMW,528iA 2.0 Turbo 16V 245cv 4p,6149
BMW,528iA High,200
BMW,528iA M Sport 2.0 Turbo 16V 245cv 4p,6514
BMW,528iA Touring,201
BMW,530e Luxury 2.0 Turbo (Híbrido),9959
BMW,530e M Sport 2.0 Turbo Aut. (Híbrido),9960
BMW,530i M Sport 2.0 Turbo 252cv Aut.,7918
BMW,530i Security,8816
BMW,530i/iA,202
BMW,530i/iA Touring,203
BMW,535i/iA 3.5 24V,204
BMW,535iA 3.0 24V 306cv Bi-Turbo,5267
BMW,535iA GT 3.0 306cv Bi-Turbo,5292
BMW,535iA M Sport 3.0 24V 306cv Bi-Turbo,6415
BMW,540i,205
BMW,540i M Sport 3.0 Turbo 340cv Aut.,7919
BMW,540i/iA Touring,206
BMW,540iA,207
